543218433                  JON SNOW
684686546          CERSIE LANNISTER
234523454               SANSA STARK
757785872        DAENERYS TARGARYEN
091242378           JAMIE LANNISTER
128762348             SAMWELL TARLY
563423401                ARYA STARK
245023490            DAVOS SEAWORTH
239489348          TYRION LANNISTER
405930440       THORMUND GIANTSBANE
213441232             WHITE WALKERS
493515916           VERONIKA TADENA
401991909       MCKINLEY WESTERFELD
793267575             TEMIKA MESHEW
319373939              MARGIT EBLIN
